context  language        translated%     approved%       phrases         translated      approved
ui       ar      73%     55%     1077    792     598
core     ar      90%     87%     409     372     359
blocks   ar      51%     48%     482     247     234
ui       az      0%      0%      1077    6       0
core     az      0%      0%      409     0       0
blocks   az      0%      0%      482     0       0
ui       en      16%     0%      1077    173     0
core     en      0%      0%      409     0       0
blocks   en      0%      0%      482     4       0
ui       pt-BR   90%     51%     1077    974     554
core     pt-BR   90%     80%     409     369     329
blocks   pt-BR   56%     45%     482     273     218
ui       pa-IN   0%      0%      1077    0       0
core     pa-IN   0%      0%      409     0       0
blocks   pa-IN   0%      0%      482     0       0
ui       kn      1%      1%      1077    13      13
core     kn      0%      0%      409     0       0
blocks   kn      0%      0%      482     1       1
ui       af      0%      0%      1077    0       0
core     af      0%      0%      409     0       0
blocks   af      0%      0%      482     0       0
ui       de      97%     97%     1077    1054    1054
core     de      100%    100%    409     409     409
blocks   de      87%     87%     482     424     424
ui       hy-AM   13%     0%      1077    144     0
core     hy-AM   4%      0%      409     20      0
blocks   hy-AM   3%      0%      482     19      0
ui       no      65%     57%     1077    710     614
core     no      91%     84%     409     374     347
blocks   no      51%     45%     482     250     221
ui       bg      72%     52%     1077    785     565
core     bg      96%     86%     409     394     355
blocks   bg      60%     47%     482     292     231
ui       lv      4%      4%      1077    50      50
core     lv      14%     14%     409     58      58
blocks   lv      1%      1%      482     9       9
ui       sk      58%     51%     1077    631     557
core     sk      88%     79%     409     364     327
blocks   sk      48%     45%     482     232     217
ui       id      79%     52%     1077    854     565
core     id      90%     87%     409     369     359
blocks   id      52%     47%     482     255     231
ui       ml-IN   0%      0%      1077    0       0
core     ml-IN   0%      0%      409     0       0
blocks   ml-IN   0%      0%      482     0       0
ui       nb      79%     79%     1077    856     856
core     nb      77%     77%     409     317     317
blocks   nb      47%     47%     482     231     227
ui       da      97%     59%     1077    1054    646
core     da      100%    88%     409     409     363
blocks   da      60%     50%     482     291     243
ui       fr-CA   61%     0%      1077    664     0
core     fr-CA   90%     0%      409     370     0
