context  language        translated%     approved%       phrases         translated      approved
blocks   fr-CA   34%     0%      482     166     0
ui       cs      72%     52%     1077    782     561
core     cs      88%     80%     409     362     328
blocks   cs      52%     45%     482     252     219
ui       hr      24%     0%      1077    262     4
core     hr      75%     70%     409     307     289
blocks   hr      30%     22%     482     145     108
ui       hi      52%     0%      1077    568     0
core     hi      0%      0%      409     0       0
blocks   hi      2%      0%      482     12      0
ui       ca      46%     0%      1077    502     0
core     ca      37%     0%      409     152     0
blocks   ca      6%      0%      482     31      0
ui       pl      97%     72%     1077    1053    784
core     pl      100%    87%     409     409     358
blocks   pl      62%     49%     482     300     240
ui       gu-IN   0%      0%      1077    0       0
core     gu-IN   0%      0%      409     0       0
blocks   gu-IN   0%      0%      482     0       0
ui       ku      1%      0%      1077    16      0
core     ku      0%      0%      409     0       0
blocks   ku      0%      0%      482     1       0
ui       ko      93%     73%     1077    1009    788
core     ko      99%     99%     409     408     405
blocks   ko      69%     67%     482     337     323
ui       et      0%      0%      1077    0       0
core     et      1%      0%      409     5       0
blocks   et      0%      0%      482     0       0
ui       he      73%     72%     1077    795     783
core     he      97%     97%     409     399     399
blocks   he      44%     22%     482     216     108
ui       ur-PK   0%      0%      1077    2       0
core     ur-PK   0%      0%      409     0       0
blocks   ur-PK   0%      0%      482     0       0
ui       si-LK   24%     24%     1077    268     265
core     si-LK   64%     62%     409     264     256
blocks   si-LK   13%     12%     482     65      62
ui       ja      97%     57%     1077    1053    614
core     ja      99%     95%     409     408     390
blocks   ja      63%     54%     482     308     263
ui       is      58%     57%     1077    631     615
core     is      89%     87%     409     367     357
blocks   is      50%     47%     482     243     231
ui       sl      73%     37%     1077    788     406
core     sl      89%     61%     409     368     253
blocks   sl      53%     30%     482     256     145
ui       fa      21%     0%      1077    228     0
core     fa      36%     0%      409     149     0
blocks   fa      25%     0%      482     122     0
ui       nl      84%     73%     1077    912     795
core     nl      93%     93%     409     383     383
blocks   nl      55%     52%     482     267     251
ui       ru      97%     97%     1077    1054    1053
core     ru      88%     83%     409     361     342
blocks   ru      64%     48%     482     312     235
ui       uk      60%     36%     1077    650     394
core     uk      82%     79%     409     337     327
blocks   uk      47%     45%     482     231     218
ui       vi      16%     0%      1077    181     0
core     vi      0%      0%      409     1       1
blocks   vi      0%      0%      482     4       0
ui       sv-SE   69%     52%     1077    744     570
core     sv-SE   90%     87%     409     372     358
blocks   sv-SE   53%     48%     482     257     234
ui       te      0%      0%      1077    1       0
core     te      0%      0%      409     0       0
blocks   te      0%      0%      482     0       0
ui       zh-CN   96%     72%     1077    1038    785
core     zh-CN   96%     92%     409     395     380
blocks   zh-CN   67%     59%     482     325     288
ui       el      56%     52%     1077    612     564
core     el      90%     87%     409     369     356
blocks   el      51%     47%     482     246     231
ui       es-MX   32%     0%      1077    349     3
core     es-MX   7%      0%      409     32      1
blocks   es-MX   1%      0%      482     9       0
ui       th      4%      0%      1077    51      0
core     th      36%     0%      409     150     0
blocks   th      9%      0%      482     46      0
ui       kmr     3%      0%      1077    42      0
core     kmr     0%      0%      409     0       0
blocks   kmr     1%      0%      482     5       0
ui       lt      63%     0%      1077    683     0
core     lt      76%     0%      409     311     0
blocks   lt      19%     0%      482     94      0
ui       bn      0%      0%      1077    0       0
core     bn      0%      0%      409     0       0
blocks   bn      0%      0%      482     0       0
ui       su      0%      0%      1077    0       0
core     su      0%      0%      409     0       0
blocks   su      0%      0%      482     0       0
ui       fi      62%     52%     1077    669     569
core     fi      90%     87%     409     369     356
blocks   fi      51%     47%     482     248     231
ui       es-ES   97%     58%     1077    1054    630
core     es-ES   99%     80%     409     408     329
blocks   es-ES   57%     48%     482     279     232
ui       sr      42%     0%      1077    458     0
core     sr      97%     0%      409     399     0
blocks   sr      22%     0%      482     110     0
ui       pt-PT   84%     60%     1077    906     650
core     pt-PT   90%     87%     409     372     359
blocks   pt-PT   53%     47%     482     259     231
ui       hu      79%     61%     1077    858     661
core     hu      90%     88%     409     371     360
blocks   hu      51%     48%     482     249     233
ui       zh-TW   85%     73%     1077    918     794
core     zh-TW   98%     98%     409     401     401
blocks   zh-TW   85%     82%     482     414     399
ui       nn-NO   1%      0%      1077    17      0
core     nn-NO   0%      0%      409     0       0
blocks   nn-NO   0%      0%      482     0       0
ui       eu      7%      0%      1077    79      0
core     eu      0%      0%      409     0       0
blocks   eu      0%      0%      482     2       0
ui       tr      88%     70%     1077    948     754
core     tr      97%     97%     409     398     398
blocks   tr      59%     49%     482     287     239
ui       kab     14%     0%      1077    152     0
core     kab     0%      0%      409     0       0
blocks   kab     1%      0%      482     9       0
ui       ta      52%     38%     1077    563     413
core     ta      51%     50%     409     212     207
blocks   ta      16%     14%     482     79      71
ui       fr      97%     82%     1077    1054    889
core     fr      98%     95%     409     404     390
blocks   fr      65%     59%     482     317     288
ui       ro      30%     0%      1077    325     0
core     ro      0%      0%      409     0       0
blocks   ro      1%      0%      482     6       0
ui       ur-IN   0%      0%      1077    0       0
core     ur-IN   0%      0%      409     0       0
blocks   ur-IN   0%      0%      482     0       0
ui       mr      0%      0%      1077    0       0
core     mr      0%      0%      409     0       0
blocks   mr      0%      0%      482     0       0
ui       tl      0%      0%      1077    0       0
core     tl      0%      0%      409     0       0
blocks   tl      0%      0%      482     0       0
ui       it      97%     55%     1077    1054    602
core     it      99%     94%     409     408     385
blocks   it      64%     52%     482     312     254
