customDimensions_name,dcount_user_Id
microsoft/pxt-bluetooth-temperature-sensor,2338
hitkuangye/CUHK_JC_iCar_V2,2247
mbitfun/pxt-katakana,2235
51bit/colorbit,2168
bsiever/microbit-dstemp,2154
microbit-apps/display-shield,2126
kitronikltd/pxt-kitronik-lab-bit,2123
kitronikltd/pxt-kitronik-klip-motor,2100
1010technologies/pxt-makerbit-ir-receiver,2034
lzty634158/SuperBit,1991
4tronix/minibit,1982
keyestudio2019/MiniCar,1930
dfrobot/pxt-dfrobot_huskylensv2,1905
microbit-foundation/pxt-sound-level-db,1781
freenove/makecode-extension-rover,1774
kitronikltd/pxt-kitronik-zip-64,1700
lzty634158/yahboom_mbit,1684
gigotoys/gigo-block,1625
climate-action-kits/pxt-climate-action-kit-land,1597
emakefun/pxt-sensorbit,1558
smarthon/pxt-smartcity,1502
cytrontechnologies/pxt-esp8266,1496
YahboomTechnology/tm1650,1484
k8robotics/pxt-k8,1390
microsoft/pxt-ws2812b,1390
alsrobot-microbit-makecode-packages/alsrobotjoybit,1387
codomicrobit/pxt-codo,1359
makecode-extensions/tm1637,1353
sparkfun/pxt-moto-bit,1323
microsoft/pxt-midi,1322
kitronikltd/pxt-kitronik-accessbit,1300
lzty634158/yahboom_mbit_en,1295
kitronikltd/pxt-kitronik-halohd,1289
gigotoys/RoboticsWorkshop,1275
kittenbot/pxt-koi,1255
kittenbot/pxt-powerbrick,1234
grandpabond/pxt-faces,1196
smarthon/pxt-smarthome,1175
cytrontechnologies/pxt-motionbit,1163
LLY16888/Microbit_Car,1129
grandpabond/pxt-flexfx,1119
lzty634158/yahboom_mbit_tr,1110
YahboomTechnology/module_world_color,1108
keyestudio2019/ks_IoT,1105
bsiever/pxt-morse,1100
dfrobot/pxt-dfrobot_creative-robotics-kit,1082
kitronikltd/pxt-kitronik-game-controller,1076
dfrobot/pxt-dfrobot_environment_science,1052
microbit-foundation/pxt-microbit-v2-power,1029
alankrantas/pxt-esp8266_thingspeak,1015
emwta/pxt-ibit,990
laboratoryforplayfulcomputation/pxt-blockytalkyble,980
kaku111/pxt-tobbieii,974
climate-action-kits/pxt-fwd-edu,967
makecode-extensions/whaleysansfont,957
iCShopMgr/MoonCar,948
veilkrand/pxt-robotcar,928
bsiever/microbit-pxt-clicks,911
emakefun/pxt-motorbit,873
makecode-extensions/bh1750,872
teacherpinky/wait-until-blocks,857
joy-it/joy-car,851
solderedelectronics/pxt-wifi,849
joy-it/pxt-rfid-mfrc522,846
dfrobot/pxt-dfrobot_iot_cloud_kit,835
YahboomTechnology/Yahboom_IR_V2,835
zhuning239/cBit,829
elecfreaks/pxt-petal,813
kitronikltd/pxt-kitronik-simple-servo,810
kitronikltd/pxt-kitronik-i2c-16-servo,806
muselab/pxt-wifi-shield,798
microsoft/pxt-bluetooth-max6675,790
Hiwonder/StartbitV2,779
sparkfun/pxt-gamer-bit,756
kitronikltd/pxt-kitronik-128x64display,755
kitronikltd/pxt-kitronik-smart-greenhouse,751
sparkfun/pxt-gator-soil,749
TinkerGen/pxt-BitCar,722
kittenbot/pxt-tabbyrobot,716
DFRobot/pxt-maqueen,716
51bit/sfc,715
keyestudio2019/ks_iot,711
4tronix/bitcommander,705
alankrantas/pxt-max7219_8x8,704
seeed-studio/pxt-grove-zero-for-microbit,699
keyestudio2019/mecanum_robot_v2,681
tinkertanker/pxt-stepper-motor,670
sphero-inc/sphero-sdk-microbit-makecode,636
smarthon/pxt-iot-bit,633
pizayanz/pxt-linebeacon,625
sparkfun/pxt-weather-bit,622
microsoft/pxt-radio-blockchain,619
kittenbot/pxt-joyfrog,615
1010technologies/pxt-makerbit-motor,612
jdarling/pxt-pca9685,603
pisupply/pxt-oled-ssd1306,601
pisupply/pxt-tinker-kit,601
pimoroni/pxt-scrollbit,597
team-bp/pxt-bplab,584
tt-stem/motors,578
forward-education/pxt-climate-action,576
makecode-extensions/bme280,559
4tronix/cubebit,558
pimoroni/pxt-envirobit,551
monkmakes/pxt-sensor,544
1010technologies/pxt-makerbit-pins,542
ines-hpmm/pxt-luma-matrix,528
lzty634158/GHBit,528
hackidsedu/pxt-hackbit,521
microsoft/pxt-bluetooth-midi,519
inexglobal/pxt-iBit2,517
1010technologies/pxt-makerbit,513
elecfreaks/pxt-magicwand,504
climate-action-kits/pxt-climate-action-kit-energy,501
ibuilds/pxt-ptkidsbit-robot,499
51bit/dfplayermini,491
aorczyk/soroban,488
matrix-robotics/pxt-matrixmicro,481
lzty634158/Croco-Kit,480
tinkertanker/pxt-ir-receiver,479
lzty634158/tiny-bit,479
4tronix/mars-rover,470
elecfreaks/xgo-rider,470
hiwonder/dadabit,467
DFRobot/pxt-DFRobot_MaqueenPlus_v20,467
makecode-extensions/ds1302,467
iCShopMgr/EZ_Start_Kit_for_MakeCode,466
joylabz/code-a-key-extension,463
xuefengedu/pxt-lcd1602_CN,455
davidnsousa/sonification,450
4tronix/servobit,449
jim-no-surname-provided/pxt-tobbieii,441
KittenBot/pxt-tabbyvision,440
kodely-io/dot,436
kitronikltd/pxt-kitronik-air-quality,425
dfrobot/pxt-dfrobot_bosonkit,417
DFRobot/pxt-gamePad,415
parallaxinc/cyberbot_makecode,414
tinkertanker/pxt-robit,413
elecfreaks/pxt-ASR,411
joy-it/pxt-rb-joypi-advanced,402
minodekit/pxt-minode,400
hardwario/pxt-microbit-hardwario,400
peanut-king-solution/pxt-pks-shield-v2,400
tt-stem/controller,399
grandpabond/pxt-meter,387
dexterind/pxt-giggle,387
makecode-extensions/bmp280,375
shahart/heb-microbit,371
zhuning239/makebit_M,371
kittenbot/pxt-kittenwifi,370
pimoroni/pxt-touchbit,369
kitronikltd/pxt-kitronik-viewtext32,367
jimd80/pxt-coderdojo-controller,364
stempunks/exrobot,357
aorczyk/my-controller,357
MartijnSc869/pxt-ccs811,347
tinkertanker/pxt-realtimeclock-ds1307,345
bsiever/microbit-pxt-rotate,344
artec-kk/pxt-artecrobo-kit,333
kitronikltd/pxt-kitronik-mai-z,331
hovavo/pxt-states,324
tangjie133/pxt-huskylens,324
daferdur/pxt-myhx711,319
forward-education/pxt-all-fwd-blocks,318
4tronix/drivebit,313
eb8ga/pxt-roversa-2,308
1010technologies/pxt-makerbit-ir-transmitter,306
pisupply/pxt-iot-lora-node,305
backyardbrains/pxt-spikerbit,300
adamish/pxt-billy,298
Hiwonder/Startbit,295
dfrobot/pxt-motor,293
elecfreaks/pxt-gesture,293
waveshare/pxt-Motor,278
thamesandkosmos/RoboticsWorkshop,277
cytrontechnologies/pxt-sumobit,275
tt-stem/robot,274
YahboomTechnology/K210-Module,274
lioujj/pxt-KSB045,273
tinkertanker/pxt-rotary-encoder-ky040,273
gigotoys/roboticsworkshop,272
elecfreaks/pxt-dronebit,271
YFROBOT-TM/pxt-yfrobot-oled,270
Hiwonder/qdee,269
siyeenove/pxt_mcar,269
peanut-king-solution/pxt-pks-shield,268
kitronikltd/pxt-kitronik-zip-tile,268
ACEBOTTteam/Acebott,267
philipphenkel/pxt-powerfunctions,266
DFRobot/pxt-DFRobot_voiceRecognition,265
lzty634158/superbit,258
BirdBrainTechnologies/pxt-hummingbird-duo,257
sgbotic/pxt-sgbotic-ultimate-sr04-rgb,253
longan-link/pxt-longanbit,251
microsoft/pxt-data-streamer,249
makecode-extensions/tm1650,249
wappsto/pxt-wappsto,243
dfrobot/pxt-dfrobot-naturalscience,240
jacdac/pxt-jacdac,240
muselab/pxt-muselab-oled-v2,237
probots-ml/extension-20,235
pyocodingcompany-crypto/pyobot-makecode,229
kaise-ksrobot/pxt-KSR030,228
d3jd/sonar,228
mworkfun/pxt-k-bit,226
1010technologies/pxt-makerbit-mp3,225
junicoders/junibot,225
kittenbot/pxt-tabbyvision,222
kitronikltd/pxt-kitronik-klef-piano,222
keble6/pxt-ds3231,221
dfrobot/pxt-dfrobot-microiot,220
plenprojectcompany/pxt-plenbit,219
hiwonder/qdee,218
microsoft/expressivepixelsmakecode,217
TinkerGen/pxt-Grove,215
lioujj/pxt-mp3,213
mworkfun/pxt-ir-remote,213
beyond-coding-tw/pxt-nexusbot,212
keyestudio2019/minicar,211
4tronix/theta,210
joy-it/pxt-rb-tft1.8,209
ACEBOTTteam/TinkerBott,201
letstalkscience/pxt-cozir,196
schoumi/ssd1306-with-reset,195
kitronikltd/pxt-kitronik-air-quality-v2-only,193
codepada/go,192
pauldfoster/pxt-microbit-gy521,190
chevyng/pxt-ucl-junkrobot,186
sparkfun/pxt-gator-environment,186
makecode-extensions/scrolltext,186
monkmakes/monkmakes-7-segment,185
mu-opensource/pxt-muvision,181
makecode-extensions/ds1307,180
sunfounder/pxt-sloth,180
stem-plus/PetFeeder,179
pimoroni/pxt-inkybit,179
tangjie133/pxt-motor,179
tfabworks/pxt-stem,179
hiwonder/iothouse,178
ekkai/aicococam,178
freenove/makecode-extension-starter-kit,175
YahboomTechnology/Yahboom_IR,174
bouw-je-bep/bouw-je-bep,172
joy-it/pxt-sen-color,170
51bit/smarttools,166
microsoft/pxt-simx-sample,165
KittenBot/pxt-powerbrick,165
hiwonder/Qdee,165
bsiever/microbit-dstemp-2wire,164
alsrobot-microbit-makecode-packages/minicruise,163
TinkerGen/pxt-BitPlayer,162
KittenBot/pxt-koi,160
imagimaker/pxt-imagimaker,156
roborisen/gcube,155
steveturbek/pxt-rotary-encoder-ky-040-plus,155
sparkfun/pxt-gator-temp,152
nathanpervin/pxt-tm1638,152
ProbbieII/ProbbieII,149
alsrobot-microbit-makecode-packages/coocoo,148
adafruit/pxt-crickit,148
TinkerGen/pxt-BitMaker,147
forward-education/pxt-coding-for-good,147
hiwonder/wondercam,141
LOBOT-ROBOT/Startbit,141
TinkerGen/pxt-Bit-GadgetKit,140
dexterind/pxt-gigglebot,139
pisupply/pxt-bitbuggy,135
alsrobot-microbit-makecode-packages/cruisebit,135
MainInit/pxt-ps2,133
technokidsph/magicbit,131
YahboomTechnology/yahboom_mbit_tr,129
forward-education/pxt-smart-solar,129
jhlucky/maqueen,128
keyestudio2019/mecanum_robot,128
brightwearables/pxt-microbit-brightboard,127
waveshare/pxt-Servo,127
siyeenove/pxt_pybit,126
softsmyth/lectrify-b4k,120
kitronikltd/pxt-kitronik-craft-and-code,119
makecode-extensions/lsm6dso,118
coolguy-official/pxt-coolguy,118
sparkfun/pxt-gator-microphone,117
hitkuangye/CUHK_JC_iCar_EN,116
emakefun-makecode-extensions/emakefun_speech_recognizer,116
gomakekit/hoverbit_v2,115
siyeenove/pxt_mshield,114
stempunks/env,114
elecfreaks/pxt-mp3player,114
yahboomtechnology/ghbitlib,113
kitronikltd/pxt-kitronik-klimate,113
alexandrefrolov/ds3231,113
xinabox/pxt-od01,110
microsoft/pxt-ml,109
kittenbot/pxt-minilfr,109
tinkertanker/pxt-range-vl53l0x,108
sbcshop/Micro-Bit-Motor-Driver,106
sparkfun/pxt-gator-particle,106
sparkfun/pxt-gator-light,105
lioujj/pxt-lcd1602,104
DFRobot/pxt-DFRobot_creative-robotics-kit,100
YahboomTechnology/GHBitLib,99
tinkertanker/pxt-tinkercademy-microbot,99
stemhub/pxt-stemhubcity,98
lzty634158/Superbit,98
stem-plus/pxt-ds3231,97
yahboomtechnology/tiny-bitlib,97
vr2lousir/line_following_v2,96
technokidsph/TK_Mbit,96
kaise-ksrobot/pxt-KSB048,96
yahboomtechnology/ESP32-wifi-Microbit,96
pimoroni/pxt-automationbit,95
roborisen/braillebot,94
makecode-extensions/apds9930,94
vengit/pxt-sbrick,93
yahboomtechnology/module-world,93
shanqingyang12/lanqiaoqingshao,92
tt-stem/motor,90
jcubuntu/pxt-ikb1,89
forward-education/pxt-smart-hydroponics,89
ks-bulme/pxt-mikrobot,89
1010technologies/pxt-makerbit-touch,88
FuzzyMakers/pxt-fuzzyMakers,87
stemhub/pxt-stemhubbit,87
martijnscale/pxt-ccs811,86
microsoft/pxt-radio-firefly,86
KeyEstudio2019/MiniCar,85
Hiwonder/nexbit,84
bsiever/pxt-sen55,84
ebotics/pxt-eboticsmibo,84
Seeed-Studio/pxt-BitMaker,82
YahboomTechnology/Speech,81
KittenBot/pxt-tabbyrobot,80
zdkderpphb/pxt-robobox,79
probots-ml/extension-10,78
elecfreaks/pxt-SAIDOU,78
aorczyk/lego-pf-transmitter,78
kaise-ksrobot/pxt-ksrobot-iot,77
zhuning239/TM1637,77
Koki-017/Tiny-bitLib,76
joy-it/sen-mpu6050,76
yahboomtechnology/superbitlibv2,75
monkmakes/plant-monitor-makecode,73
kocoafab/robodog,72
zhuning239/cbit,72
alankrantas/pxt-DHT11_DHT22,71
keyestudio2019/ks_ioT,68
tinkergen/pxt-bitcar,68
51135499/BitRacer,68
waveshare/PXT-WSLCD1in8,67
keyestudio2019/pxt-pca9685-smallest,66
bjdagurobot/bjdg_microbitCar_en,65
waveshareteam/JoyStick,65
tinkertanker/udriver_pca9585,65
lly16888/microbit_car,64
microbit-foundation/makecode-tutorials,64
gtrinidad/butia-microbit,64
jlab001/pxt-motor,62
MSM-Dev-Pro/MSM-Dadabit-Smart-Tools,62
bsiever/microbit-pxt-flashstorage,61
tinkertanker/pxt-alphanumeric-ht16k33,60
Hiwonder/Handlebit,60
4tronix/eggbit,60
makecode-extensions/i2cLCD1602,60
ibuilds/pxt-ptkidsbit-iot,60
keyestudio2019/Minicar,59
yfrobot-tm/pxt-yfrobot-valon,59
bidyut-innovation/bidyutinnovation,59
junicoders/juniservo,58
plenprojectcompany/pxt-plenbit_full,58
stem-plus/petfeeder,57
keyestudio-team/pxt-RI-receiver,57
lzty634158/Tinybit_IR,57
DFRobot/pxt-DFRobot_xia_mi_Board,57
waltfe/Brainco,57
makeandlearn/pxt-didacbot,57
aorczyk/lego-pf-receiver,57
YFROBOT-TM/pxt-yfrobot-sensors,57
YahboomTechnology/Module-world,56
rebeccaclavier/pxt-bmp280,56
dxxztoys/DxxzJoystick,55
ibuilds/pxt-ptkidsbit,55
iCShopMgr/MbitBot,54
kelieleung/pxt-iclassiot,54
bestmodules-libraries/pxt-bmduino,54
1010Technologies/pxt-makerbit-lcd2004,54
alsrobot-microbit-makecode-packages/alsrobotkeyboard,54
elecfreaks/pxt-Matrix-8x16,53
makecode-extensions/ntc,52
lewfer/mb-df-robot,52
pt-robotics/pxt-kidsbit-vx,52
resolute-support/microbit-piano,52
keyestudio-team/pxt-turtle-bit,52
Sensirion/makecode-extension-scd41,51
hiwonder/nexbit,51
keigan-motor/pxt-keiganmotor,51
Hiwonder/Nexbit,51
annikken/pxt-andee,51
makecode-extensions/lis2dw12,50
aorczyk/pf-recorder,50
kitronikltd/pxt-kitronik-fischertechnik,49
kidspark/pxt-sparkbit,49
thamesandkosmos/roboticsworkshop,48
lzty634158/OmniBit,47
MKleinSB/maqueen,47
YahboomTechnology/Asr_V3,47
ZY2516/tft_lcd,46
butia4/butia-microbit-extension,46
assirati/pxt-inventura,46
emakefun/pxt-mp3,45
lwchkg/pxt-proportional-font,45
stempunks/neomatrixext,44
kitronikltd/pxt-kitronik-rtc,44
kittenBot/pxt-tabbyvision,44
emakefun/pxt-magicbit,44
4tronix/orbit,44
LLY16888/Microbit_car,44
lzty634158/HelloBot,43
bain3d/pxt-bansot,43
DFRobot/pxt-ds18b20,43
dfrobot/pxt-ds18b20,43
alsrobot-microbit-makecode-packages/alsrobotelectromagnet,43
kseryi/mecanum_robot_v2,43
DFrobot/pxt-motor,43
gomakekit/airbit_v2,42
kou1okada/ks4033,42
adafruit/pxt-seesaw,42
holasmart/BBC-Microbit-Smart-Car,42
waveshare/WSLCD1in8,41
kitronikltd/pxt-kitronik-clip-detector,41
maxwong-scale/pxt-makercloud-V2,40
TinkerGen/pxt-Bitcar,40
Zalswaw/esp8266RZ,40
jakubmimlich/co2,40
scaleinnotech/pxt-makercloud-v2,40
lioujj/pxt-keypad,40
JellySTEM-Edu/pxt-jellystem,40
keyestudio2019/ks_Iot,39
YahboomTechnology/Tiny-bitlib,39
SMARTHON/pxt-smartplant,38
waveshare/JoyStick,38
DFRobot/pxt-DFRobot_lcdDisplay,38
elecfreaks/pxt-ds18b20,38
kosen9/9,37
xy88bb/0,37
microsoft/pxt-apa102,37
Hiwonder/wondercam,36
thk-block/thk,36
gigotoys/Gigo-tools,36
hiwonder/startbit,36
sparkfun/pxt-gator-uv,36
handful-of-cheese-from-fridge-at-3am/temperature-extension-dev,35
zobclub/vl53l0x-microbit,35
kaise-ksrobot/pxt-ksrobot-IoT,35
LewanSoul2018/Handlebit,35
bpi-steam/pxt-triodecar,35
DFROBOT/PXT-MOTOR,35
makecode-extensions/bmp180,34
MENG-Vathanak/ROBOCAR_CONTROL,34
robotgyms/pxt-robotpu,34
onion3/Zero,33
pocketech-br/Estrutech,33
bottleofmayo/pxt-rover,33
kaise-ksrobot/pxt-ksrobot-ir,33
tinkertanker/microdriver_sht2x,33
YahboomTechnology/yahboom_mbit,33
malikovay/ym3,32
DFRobot/pxt-motor?authuser=0,32
Robotistan/picobricks-for-microbit-ext,31
lewfer/mb-motors,31
Freenove/Makecode-Extension-Rover,31
gigotoys/Roboticsworkshop,30
nledevil/mecanumrobotv2,30
microsoft/pxt-jacdac,30
dxxztoys/DxxzDigitalTube,30
xinabox/pxt-sw01,30
DFRobot/pxt-DFRobot_HuskyLens,30
scaleinnotech/pxt-makercloud-koi,29
microsoft/pxt-max6675,29
FQing1226/new-1,29
ART2BIT/jovibit,29
zhuning239/Makebit_M,29
hitkuangye/CUHK_JC_iCar_V2?authuser=0,28
lioujj/pxt-NFC,28
waveshare/TouchPiano,28
dxxztoys/DxxzServo,28
joy-it/pxt-ads1115,28
makecode-extensions/OLED12864_I2C,28
siewyun92/microbit-33v-lcd,27
ckmaker-cckk/pxt-ckbase,27
YahboomTechnology/SuperBit,27
arduino12/microbit_mlx90614,27
dxxztoys/DxxzUltrasonic,26
XiaoRGEEK/XRBIT-DS,26
zobclub/clcd-microbit,26
yahboomTechnology/Tiny-bitLib,26
tkleisas/pxt-greekled-beta,26
elecfreaks/pxt-PlanetX-AI,26
GuangzhouPudian/Hicbit1.0,26
YahboomTechnology/Module_World_Color,26
Fablab-Lier/pxt-DFRobot_MaqueenPlus_v20,25
pixetto/pxt-pixetto-16,25
jukoleda/pxt-probot,24
Kittenbot/pxt-tabbyvision,24
zhuning239/OLED,24
tfabworks/pxt-stem-s,24
CH-MAKER-Ed/pxt-BitCar,24
YahboomTechnology/module-world,24
forward-education/pxt-smart-soldering,24
YahboomTechnology/GHBit,24
DFRobot/pxt-gamepad,24
BrickHackers/pxt-IR-VS1838,24
MiroChao/pxt-BitCar,23
DFRobot/pxt-DFRobot_HuskyLensV2,23
gomakekit/pxt-airbit,23
Hiwonder/WonderCam,23
anxlearningdesign/pxt-ideakit-maker,23
gigotoys/GigoDrone,23
makecode-extensions/lis2mdl,23
lioujj/pxt-V7RC,23
emakefun/pxt-monitors,23
FuzzyMakers/pxt-fuzzyMakers?authuser=0,22
STEAMISFUN/innobit,22
zhuning239/dht11,22
microsoft/pxt-settings-blocks,22
Kittenbot/pxt-powerbrick,22
1010Technologies/pxt-makerbit-ir-receiver,22
KittenBot/pxt-robotbit,22
makecode-extensions/hts221,22
Yall-tech/Grove-Chainable-RGB-LED-V2.0-104020048-Makecode,22
gbantique/brickcell-color-tcs34725,22
cytrontechnologies/pxt-maker-line,21
codepada/pada-education,21
tfabworks/stem,21
YahboomTechnology/SuperbitLibV2,21
kitronikltd/pxt-design-and-automate-accessory-kit,21
hiwonder/startbitv2,21
pipolabs/ptx-pipobit-teachable-machine,20
hiwonderk12/DaDabit,20
hitkuangye/cuhk_jc_icar_V2,20
emakefun/pxt-joystickbit,20
dxxztoys/DxxzPotentiometer,20
DFRobot/pxt-micro-IOBOX,20
jellyfishplanet/jfplanet,20
zhuning239/Cbit,20
lewansoul2018/microbot,20
anxlearningdesign/pxt-ideakit-smart-farm,20
lzty634158/TINY-bit,20
SMARTHON/pxt-smartgarden,19
technokidsph/TK_piano,19
Hiwonder/DaDabit,19
kaise-ksrobot/pxt-KSB039,19
nanamm19991234-dev/dahcapek,19
DFRobot/pxt-DFRobot-Maqueenplus,19
emakefun/pxt-mqtt,19
osoyoo/OSOYOO_IR_V3,19
YahboomTechnology/Module-World\,19
waveshare/pxt-AlphaBot2,19
yahboomTechnology/Module-World,19
zhuning239/NTC,19
seengreat/SG-EMIB-01A,19
makecode-extensions/stts751,19
elecfreaks/pxt-PlanetX,19
YFROBOT-TM/pxt-yfrobot-motorbit,19
makecode-extensions/lps22,18
Keyestudio2019/minicar,18
BLstem/pxt-DHT22,18
zhuning239/makebit,18
MKleinSB/pxt-dht20,18
microbit-cz/pxt-peewee-light,18
house-of-robot/pxt-motorbit,18
microbit-more/pxt-mbit-more-v2,18
osoyoo/OSOYOO_IR,18
keyestudio/MiniCar,18
inexglobal/pxt-iBit2\,18
DFRobot/pxt-NFCI2C,17
unitytech2017/rb,17
ibrentski/qdee,17
ACEBOTTteam/AI-VISION,17
lioujj/KSB037,17
bekousek/fyzikalni_senzory,17
bsiever/pxt-fastloops,17
keyestudio-team/DeskBit,17
Yahboomtechnology/Module-World,17
mworkfun/pxt_mCar,17
lzty634158/Croco-kit,16
cburg-college/greenbox,16
elecfreaks/Brainco,16
kodorobot/maqueen,16
jomihal/tpbot-1a,16
tinkergen/pxt-grove,16
BrightWearables/pxt-tcs34725,16
AITosee/pxt-sentry2,16
DFRobot/pxt-DFRobot_WiFi_IoT_I2C,16
felizamor/cBit,16
CytronTechnologies/pxt-rekabit,16
Keyestudio2019/ks_iot,15
Matrix-Robotics/pxt-MatrixMicro,15
gigotoys/gigoblock,15
lewfer/mb-eyes-crickit,15
lzty634158/yahboom_mbit_IR,15
KeyEstudio2019/Minicar,15
YFROBOT-TM/pxt-yfrobot-vc,15
Lzty634158/Tiny-bit,15
HTERobotCode/pxt-HTERobot,15
zhuning239/makebit_X,15
osoyoo/OSOYOO-MICRO-BIT-CAR,15
emakefun-makecode-extensions/emakefun_rfid_mfrc522,15
pierr-paul/Micro-BOT,14
BLstem/pxt-drone,14
iCShopMgr/CIRCUS_Pi_Logyun,14
gigotoys/roboticsWorkshop,14
YFROBOT-TM/pxt-yfrobot-oled2,14
DFRobot/pxt-DFRobot_IR,14
softdev980/stembot,14
makecode-extensions/TM1637,14
JordanElectronics/pxt-oled-sh1106,14
LZTY634158/TINY-BIT,14
pelikhan/pxt-rtttl,14
fuzzymakers/pxt-fuzzymakers,14
msonrm/ptx-abc-music-notation,14
MSM-Dev-Pro/dadabit,14
Forward-Education/pxt-openscied,14
inexglobal/pxt-ibit,14
xfrankbx/qdee,14
siyeenove/pxt-neopixel,14
scramble-robot/DFR0548-Japanese,13
hiwonder/StartBitV2,13
ardubits-kwm/DLM-lib,13
Hiwonder/startbit,13
gigotoys/RoboticsWorkShop,13
TinkerGen/pxt-grove,13
DFRobot/pxt-NFCUART,13
vyselabsth/pxt-vysebot,13
sunyong6666/fifabit,13
Hiwonder/QDEE,13
lzty634158/superBit,13
KeyEstudio2019/minicar,13
martinwork/pxt-audio-recording,13
hitkuangye/CUHK_JC_iCAR_V2,13
iCShopMgr/Mooncar,13
YahboomTechnology/SuperBitLibV2.,13
zhuning239/OLED12864,13
pogodae/Micro-bit-DrivePL,13
LOBOT-ROBOT/Handlebit,12
ICShopMgr/MoonCar,12
m-asaoka-fap/stackchanbit_2,12
elecfreaks/pxt-asr,12
keyestudio2019/ks_IOT,12
tinkergen/pxt-BitCar,12
keyestudio2019/pxt-creative-inventors-kit-master,12
iCShopMgr/MbitBot_AirBox,12
LOBOT-ROBOT/Microbot,12
microbit-makecode-packages/TM1637,12
YahboomTechnology/Fingerprint,12
lioujj/pxt-L9110,12
gamenoodlesoup/pxt-microbit-bridge,12
YahboomTechnology/Tiny-bitLib\,12
lioujj/pxt-ksb045,12
tonggworldz/tinybit,12
kenken5216/DGGStartbitV2,12
ddhtxwd/xmucar,12
waveshare/pxt-servo,12
thamesandkosmos/Roboticsworkshop,12
daferdur/pxt-myHX711,12
dsssssssss9/infrared-control-carv2-compiles,12
KitronikLtd/pxt-kitronik-motor-driver,11
LOBOT-ROBOT/Qbit,11
Tinkertanker/pxt-oled-ssd1306,11
TinkerGen/pxt-bitcar,11
pitchcat/PXT-WSLCD1in8,11
lzty634158/Tiny-Bit,11
gigotoys/gigo,11
Lzty634158/SuperBit,11
pogodae/DaDabitPL,11
lioujj/pxt-LumexLDM6432_NEW,11
Codepada/go,11
hhgyu/pxt-serial-control-usb-mp3,11
KittenBot/pxt-sugar,11
lioujj/pxt-sensors,11
YahboomTechnology/SuperBitlibV2,11
DFRobot/pxt-DFRobot_matrixLidarDistanceSensor,11
anxlearningdesign/pxt-IDEAKIT-ROBOT,11
LLY16888/microbit_car,11
pygoubet/Qdee,11
siyeenove/pxt_mjoystick,11
DFRobot/pxt-DFRobotGestureFaceDetection,11
keyestudio/pxt-environment-kit-master,11
CodePanoor/Bit3.0,11
escaperoomcreators/microbit-i2c-nfc,11
cytrontrainee/microbit-lcm1602-14-lcd-extension,11
CytronTrainee/microbit-LCM1602-14-LCD-extension,11
JUNICODERS/JUNIBOT,11
gomakekit/Hoverbit_V2,11
ACEBOTTteam/AcebottKit,11
