customDimensions_name,dcount_user_Id
dfrobot/pxt-maqueen,128823
microsoft/pxt-neopixel,109445
kittenbot/pxt-robotbit,100558
elecfreaks/pxt-cutebot,61926
microsoft/pxt-sonar,59334
tinkertanker/pxt-iot-environment-kit,42522
microsoft/pxt-microturtle,31336
elecfreaks/pxt-planetx,31277
elecfreaks/pxt-nezha,26906
dfrobot/pxt-dfrobot_maqueenplus_v20,25236
4tronix/bitbot,22055
elecfreaks/pxt-wukong,19196
seeed-studio/pxt-grove,18028
elecfreaks/pxt-cutebot-pro,17092
tinkertanker/pxt-smarthome,15601
birdbraintechnologies/pxt-hummingbird-bit,15297
elecfreaks/pxt-planetx-ai,12105
tinkertanker/pxt-tinkercademy-tinker-kit,11771
tinkertanker/pxt-oled-ssd1306,11245
dfrobot/pxt-dfrobot-maqueenplus,11191
birdbraintechnologies/pxt-finch,10763
dfrobot/pxt-dfrobot_huskylens,10346
kitronikltd/pxt-kitronik-servo-lite,9808
kitronikltd/pxt-kitronik-move-motor,9779
microsoft/microbit-robot,9705
makecode-extensions/i2clcd1602,8614
tinkertanker/pxt-ringbitcar,8593
kitronikltd/pxt-kitronik-motor-driver,8242
elecfreaks/pxt-nezha2,8071
DFRobot/pxt-motor,7302
tinkertanker/pxt-joystickbit,7206
kitronikltd/pxt-kitronik-stopbit,6916
makeandlearn/pxt-microshield,6403
kittenbot/pxt-sugar,5994
elecfreaks/pxt-tpbot,5828
alankrantas/pxt-dht11_dht22,5707
cytrontechnologies/pxt-edubit,5622
resolute-support/pxt-apprentice_car,4962
makecode-extensions/oled12864_i2c,4735
strawbees/pxt-robotic-inventions,4331
4tronix/robobit,4222
rerokit/pxt-reromicro,4120
YahboomTechnology/Tiny-bitLib,4066
1010technologies/pxt-makerbit-ultrasonic,4048
cytrontechnologies/pxt-rekabit,3765
Hiwonder/Qdee,3714
cytrontechnologies/pxt-zoombit,3700
elecfreaks/pxt-sonarbit,3522
1010technologies/pxt-makerbit-lcd1602,3457
cytrontechnologies/pxt-rekabit-rbt-project-kit,3338
YahboomTechnology/Module-World,3200
tinkertanker/pxt-continuous-servo,3164
lzty634158/Tiny-bit,3161
tinkertanker/pxt-motorbit,3056
bsiever/microbit-pxt-blehid,3036
kitronikltd/pxt-kitronik-robotics-board,3010
kittenbot/pxt-koi2,2932
kitronikltd/pxt-kitronik-lampbit,2817
elecfreaks/pxt-xgo,2732
bsiever/microbit-pxt-timeanddate,2647
YahboomTechnology/SuperBitLibV2,2614
pythom1234/pxt-oled,2344
